"Lavorazione","Diserbo","Blocco","Prod"
"MIN","tot",1,11.614
"MIN","tot",2,9.283
"MIN","tot",3,7.019
"MIN","tot",4,8.015
"MIN","parz",1,5.117
"MIN","parz",2,4.306
"MIN","parz",3,8.94
"MIN","parz",4,5.617
"SUP","tot",1,10.019
"SUP","tot",2,8.686
"SUP","tot",3,8.904
"SUP","tot",4,8.956
"SUP","parz",1,7.975
"SUP","parz",2,8.355
"SUP","parz",3,7.99
"SUP","parz",4,9.581
"PROF","parz",1,11.477
"PROF","parz",2,10.671
"PROF","parz",3,10.567
"PROF","parz",4,9.8
"PROF","tot",1,10.111
"PROF","tot",2,8.784
"PROF","tot",3,7.927
"PROF","tot",4,10.005
